page_number,report_page,dashboard_section,audience,period_type,selected_period,year,compare_to_year,market,metric_group,metric_name,raw_powerbi_metric,spending_category,value_display,value_numeric,value_rm_million,unit,notes,scraped_at
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of international_airfare_receipt_share,International Airfares,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure profile,Market share,Share Receipt Cont Cumulative,All spending categories,0.53%,0.53,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure profile,Growth,Growth Receipts Cumulative,All spending categories,16.98%,16.98,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of local_transportation_receipt_share,Local Transportation,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of fuel_receipt_share,Fuel,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of entertainment_receipt_share,Entertainment,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of sport_receipt_share,Sports,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of domestic_airfare_receipt_share,Domestic Airfares,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of other_receipt_share,Others,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:45.526Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of accommodation_receipt_share,Accommodation,34.57%,34.57,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of organized_tour_receipt_share,Organised Tour,12.37%,12.37,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure profile,Receipt,Sum of receipts_cumulative,All spending categories,494.52,494.52,494.52,RM million,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of medical_receipt_share,Medical,0.05%,0.05,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of shopping_receipt_share,Shopping,14.68%,14.68,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of fnb_receipt_share,Food & Beverages,15.82%,15.82,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of international_airfare_receipt_share,International Airfares,7.58%,7.58,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure profile,Market share,Share Receipt Cont Cumulative,All spending categories,0.46%,0.46,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure profile,Growth,Growth Receipts Cumulative,All spending categories,26.66%,26.66,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of local_transportation_receipt_share,Local Transportation,7.06%,7.06,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of fuel_receipt_share,Fuel,0.03%,0.03,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of entertainment_receipt_share,Entertainment,5.18%,5.18,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of sport_receipt_share,Sports,0.03%,0.03,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of domestic_airfare_receipt_share,Domestic Airfares,2.52%,2.52,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Netherlands,Expenditure components share,Share of visitor expenditure,Sum of other_receipt_share,Others,0.12%,0.12,,%,Scraped from Power BI details cards.,2026-09-11T09:23:48.026Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of accommodation_receipt_share,Accommodation,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of organized_tour_receipt_share,Organised Tour,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure profile,Receipt,Sum of receipts_cumulative,All spending categories,255.25,255.25,255.25,RM million,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of medical_receipt_share,Medical,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of shopping_receipt_share,Shopping,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of fnb_receipt_share,Food & Beverages,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of international_airfare_receipt_share,International Airfares,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure profile,Market share,Share Receipt Cont Cumulative,All spending categories,0.34%,0.34,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure profile,Growth,Growth Receipts Cumulative,All spending categories,13.10%,13.1,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of local_transportation_receipt_share,Local Transportation,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of fuel_receipt_share,Fuel,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of entertainment_receipt_share,Entertainment,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of sport_receipt_share,Sports,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of domestic_airfare_receipt_share,Domestic Airfares,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of other_receipt_share,Others,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:52.095Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of accommodation_receipt_share,Accommodation,28.45%,28.45,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of organized_tour_receipt_share,Organised Tour,19.74%,19.74,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure profile,Receipt,Sum of receipts_cumulative,All spending categories,295.85,295.85,295.85,RM million,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of medical_receipt_share,Medical,0.36%,0.36,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of shopping_receipt_share,Shopping,14.37%,14.37,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of fnb_receipt_share,Food & Beverages,13.66%,13.66,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of international_airfare_receipt_share,International Airfares,11.48%,11.48,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure profile,Market share,Share Receipt Cont Cumulative,All spending categories,0.28%,0.28,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure profile,Growth,Growth Receipts Cumulative,All spending categories,15.91%,15.91,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of local_transportation_receipt_share,Local Transportation,4.91%,4.91,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of fuel_receipt_share,Fuel,0.01%,0.01,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of entertainment_receipt_share,Entertainment,5.04%,5.04,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of sport_receipt_share,Sports,0.05%,0.05,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of domestic_airfare_receipt_share,Domestic Airfares,1.57%,1.57,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,New Zealand,Expenditure components share,Share of visitor expenditure,Sum of other_receipt_share,Others,0.37%,0.37,,%,Scraped from Power BI details cards.,2026-09-11T09:23:54.576Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of accommodation_receipt_share,Accommodation,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of organized_tour_receipt_share,Organised Tour,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure profile,Receipt,Sum of receipts_cumulative,All spending categories,49.45,49.45,49.45,RM million,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of medical_receipt_share,Medical,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of shopping_receipt_share,Shopping,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of fnb_receipt_share,Food & Beverages,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of international_airfare_receipt_share,International Airfares,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure profile,Market share,Share Receipt Cont Cumulative,All spending categories,0.07%,0.07,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure profile,Growth,Growth Receipts Cumulative,All spending categories,-17.97%,-17.97,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of local_transportation_receipt_share,Local Transportation,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of fuel_receipt_share,Fuel,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of entertainment_receipt_share,Entertainment,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of sport_receipt_share,Sports,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of domestic_airfare_receipt_share,Domestic Airfares,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Norway,Expenditure components share,Share of visitor expenditure,Sum of other_receipt_share,Others,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:23:58.766Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of accommodation_receipt_share,Accommodation,45.36%,45.36,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of organized_tour_receipt_share,Organised Tour,7.30%,7.3,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure profile,Receipt,Sum of receipts_cumulative,All spending categories,69.11,69.11,69.11,RM million,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of medical_receipt_share,Medical,0.04%,0.04,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of shopping_receipt_share,Shopping,11.75%,11.75,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of fnb_receipt_share,Food & Beverages,16.73%,16.73,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of international_airfare_receipt_share,International Airfares,5.47%,5.47,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure profile,Market share,Share Receipt Cont Cumulative,All spending categories,0.06%,0.06,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure profile,Growth,Growth Receipts Cumulative,All spending categories,39.74%,39.74,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of local_transportation_receipt_share,Local Transportation,6.84%,6.84,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of fuel_receipt_share,Fuel,0.13%,0.13,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of entertainment_receipt_share,Entertainment,2.61%,2.61,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of sport_receipt_share,Sports,0.05%,0.05,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of domestic_airfare_receipt_share,Domestic Airfares,3.71%,3.71,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Norway,Expenditure components share,Share of visitor expenditure,Sum of other_receipt_share,Others,0.00%,0,,%,Scraped from Power BI details cards.,2026-09-11T09:24:01.244Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of accommodation_receipt_share,Accommodation,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of organized_tour_receipt_share,Organised Tour,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure profile,Receipt,Sum of receipts_cumulative,All spending categories,170.20,170.2,170.2,RM million,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of medical_receipt_share,Medical,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of shopping_receipt_share,Shopping,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of fnb_receipt_share,Food & Beverages,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of international_airfare_receipt_share,International Airfares,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure profile,Market share,Share Receipt Cont Cumulative,All spending categories,0.23%,0.23,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure profile,Growth,Growth Receipts Cumulative,All spending categories,-22.09%,-22.09,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of local_transportation_receipt_share,Local Transportation,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of fuel_receipt_share,Fuel,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of entertainment_receipt_share,Entertainment,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of sport_receipt_share,Sports,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of domestic_airfare_receipt_share,Domestic Airfares,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2023,2019,Oman,Expenditure components share,Share of visitor expenditure,Sum of other_receipt_share,Others,--,,,%,Scraped from Power BI details cards.,2026-09-11T09:24:05.588Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of accommodation_receipt_share,Accommodation,27.30%,27.3,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of organized_tour_receipt_share,Organised Tour,4.23%,4.23,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure profile,Receipt,Sum of receipts_cumulative,All spending categories,232.01,232.01,232.01,RM million,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of medical_receipt_share,Medical,0.01%,0.01,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of shopping_receipt_share,Shopping,38.46%,38.46,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of fnb_receipt_share,Food & Beverages,15.28%,15.28,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of international_airfare_receipt_share,International Airfares,3.23%,3.23,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure profile,Market share,Share Receipt Cont Cumulative,All spending categories,0.22%,0.22,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure profile,Growth,Growth Receipts Cumulative,All spending categories,36.31%,36.31,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of local_transportation_receipt_share,Local Transportation,6.51%,6.51,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of fuel_receipt_share,Fuel,0.00%,0,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of entertainment_receipt_share,Entertainment,3.68%,3.68,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of sport_receipt_share,Sports,0.01%,0.01,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of domestic_airfare_receipt_share,Domestic Airfares,1.25%,1.25,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
2,Visitors-Details (Months),Details,Visitors,Months,Jan-Dec,2024,2023,Oman,Expenditure components share,Share of visitor expenditure,Sum of other_receipt_share,Others,0.05%,0.05,,%,Scraped from Power BI details cards.,2026-09-11T09:24:08.103Z
