page_number,report_page,dashboard_section,audience,period_type,selected_period,year,compare_to_year,market,metric_group,metric_name,raw_powerbi_metric,spending_category,value_display,value_numeric,value_rm_million,unit,notes,scraped_at
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Chinese Taipei,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,1624.42,1624.42,1624.42,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:52.315Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Chinese Taipei,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,2334.84,2334.84,2334.84,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:52.315Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Denmark,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,99.35,99.35,99.35,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:53.455Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Denmark,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,87.72,87.72,87.72,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:53.455Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Denmark,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,108.08,108.08,108.08,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:53.455Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Finland,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,56.78,56.78,56.78,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:54.594Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Finland,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,44.96,44.96,44.96,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:54.594Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Finland,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,54.38,54.38,54.38,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:54.594Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,France,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,636.26,636.26,636.26,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:55.845Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,France,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,623.52,623.52,623.52,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:55.845Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,France,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,924.86,924.86,924.86,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:55.845Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Germany,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,634.23,634.23,634.23,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:57.085Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Germany,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,703.01,703.01,703.01,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:57.085Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Germany,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,887.54,887.54,887.54,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:57.085Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,India,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,3.66K,3.66,3660,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:58.405Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,India,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,3.41K,3.41,3410,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:58.405Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,India,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,6.11K,6.11,6110,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:58.405Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Indonesia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,13.03K,13.03,13030,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:59.705Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Indonesia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,11.88K,11.88,11880,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:59.705Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Indonesia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,15.32K,15.32,15320,RM million,Scraped from full year overview column chart.,2026-09-11T09:20:59.705Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Iran,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,402.25,402.25,402.25,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:01.084Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Iran,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,196.65,196.65,196.65,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:01.084Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Iran,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,244.28,244.28,244.28,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:01.084Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Ireland,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,95.45,95.45,95.45,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:02.455Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Ireland,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,102.75,102.75,102.75,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:02.455Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Ireland,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,120.50,120.5,120.5,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:02.455Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Italy,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,241.39,241.39,241.39,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:03.864Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Italy,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,254.04,254.04,254.04,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:03.864Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Italy,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,368.92,368.92,368.92,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:03.864Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Japan,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,2305.47,2305.47,2305.47,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:05.274Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Japan,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,1382.73,1382.73,1382.73,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:05.274Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Japan,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,1934.97,1934.97,1934.97,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:05.274Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Kuwait,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,87.60,87.6,87.6,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:06.755Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Kuwait,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,138.26,138.26,138.26,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:06.755Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Kuwait,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,125.39,125.39,125.39,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:06.755Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Netherlands,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,333.77,333.77,333.77,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:08.237Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Netherlands,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,390.44,390.44,390.44,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:08.237Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Netherlands,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,494.52,494.52,494.52,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:08.237Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,New Zealand,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,225.69,225.69,225.69,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:09.804Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,New Zealand,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,255.25,255.25,255.25,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:09.804Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,New Zealand,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,295.85,295.85,295.85,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:09.804Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Norway,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,60.29,60.29,60.29,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:11.354Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Norway,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,49.45,49.45,49.45,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:11.354Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Norway,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,69.11,69.11,69.11,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:11.354Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Oman,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,218.45,218.45,218.45,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:12.935Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Oman,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,170.20,170.2,170.2,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:12.935Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Oman,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,232.01,232.01,232.01,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:12.935Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Others,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,4.62K,4.62,4620,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:14.525Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Others,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,4.09K,4.09,4090,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:14.525Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Others,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,5.17K,5.17,5170,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:14.525Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Pakistan,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,459.98,459.98,459.98,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:16.175Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Pakistan,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,543.13,543.13,543.13,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:16.175Z
