series,date,state,sector,value
abs,2016-01-01,Kedah,p4,997.847
abs,2016-01-01,Kedah,p5,22603.916
abs,2016-01-01,Kedah,p6,321.838
abs,2016-01-01,Kelantan,p0,22475.73
abs,2016-01-01,Kelantan,p1,5287.474
abs,2016-01-01,Kelantan,p2,257.197
abs,2016-01-01,Kelantan,p3,1171.974
abs,2016-01-01,Kelantan,p4,575.397
abs,2016-01-01,Kelantan,p5,15158.95
abs,2016-01-01,Kelantan,p6,24.739
abs,2016-01-01,Melaka,p0,37712.736
abs,2016-01-01,Melaka,p1,4312.324
abs,2016-01-01,Melaka,p2,52.608
abs,2016-01-01,Melaka,p3,14626.228
abs,2016-01-01,Melaka,p4,997.69
abs,2016-01-01,Melaka,p5,17655.431
abs,2016-01-01,Melaka,p6,68.455
abs,2016-01-01,Negeri Sembilan,p0,41771.246
abs,2016-01-01,Negeri Sembilan,p1,3056.453
abs,2016-01-01,Negeri Sembilan,p2,197.694
abs,2016-01-01,Negeri Sembilan,p3,16132.922
abs,2016-01-01,Negeri Sembilan,p4,1466.149
abs,2016-01-01,Negeri Sembilan,p5,19975.95
abs,2016-01-01,Negeri Sembilan,p6,942.078
abs,2016-01-01,Pahang,p0,50875.222
abs,2016-01-01,Pahang,p1,11193.044
abs,2016-01-01,Pahang,p2,878.802
abs,2016-01-01,Pahang,p3,10820.351
abs,2016-01-01,Pahang,p4,2726.442
abs,2016-01-01,Pahang,p5,25173.04
abs,2016-01-01,Pahang,p6,83.543
abs,2016-01-01,Perak,p0,65958.409
abs,2016-01-01,Perak,p1,10151.488
abs,2016-01-01,Perak,p2,413.624
abs,2016-01-01,Perak,p3,11752.31
abs,2016-01-01,Perak,p4,2785.886
abs,2016-01-01,Perak,p5,40762.08
abs,2016-01-01,Perak,p6,93.021
abs,2016-01-01,Perlis,p0,5569.584
abs,2016-01-01,Perlis,p1,1200.073
abs,2016-01-01,Perlis,p2,28.359
abs,2016-01-01,Perlis,p3,448.56
abs,2016-01-01,Perlis,p4,212.035
abs,2016-01-01,Perlis,p5,3578.896
abs,2016-01-01,Perlis,p6,101.661
abs,2016-01-01,Pulau Pinang,p0,82493.279
abs,2016-01-01,Pulau Pinang,p1,1987.813
abs,2016-01-01,Pulau Pinang,p2,135.366
abs,2016-01-01,Pulau Pinang,p3,35410.767
abs,2016-01-01,Pulau Pinang,p4,2984.449
abs,2016-01-01,Pulau Pinang,p5,41166.781
abs,2016-01-01,Pulau Pinang,p6,808.102
abs,2016-01-01,Sabah,p0,77518.046
abs,2016-01-01,Sabah,p1,13255.092
abs,2016-01-01,Sabah,p2,21992.315
abs,2016-01-01,Sabah,p3,6036.734
abs,2016-01-01,Sabah,p4,2357.442
abs,2016-01-01,Sabah,p5,33574.808
abs,2016-01-01,Sabah,p6,301.656
abs,2016-01-01,Sarawak,p0,124512.946
abs,2016-01-01,Sarawak,p1,16631.881
abs,2016-01-01,Sarawak,p2,29252.866
abs,2016-01-01,Sarawak,p3,33566.582
abs,2016-01-01,Sarawak,p4,3633.388
abs,2016-01-01,Sarawak,p5,40981.962
abs,2016-01-01,Sarawak,p6,446.268
abs,2016-01-01,Selangor,p0,281838.865
abs,2016-01-01,Selangor,p1,3872.074
abs,2016-01-01,Selangor,p2,642.954
abs,2016-01-01,Selangor,p3,78710.259
abs,2016-01-01,Selangor,p4,16242.991
abs,2016-01-01,Selangor,p5,173869.515
abs,2016-01-01,Selangor,p6,8501.073
abs,2016-01-01,Terengganu,p0,32133.081
abs,2016-01-01,Terengganu,p1,2681.315
abs,2016-01-01,Terengganu,p2,159.386
abs,2016-01-01,Terengganu,p3,12115.969
abs,2016-01-01,Terengganu,p4,919.66
abs,2016-01-01,Terengganu,p5,16207.034
abs,2016-01-01,Terengganu,p6,49.718
abs,2016-01-01,W.P. Kuala Lumpur,p0,191640.985
abs,2016-01-01,W.P. Kuala Lumpur,p1,0.0
abs,2016-01-01,W.P. Kuala Lumpur,p2,129.065
abs,2016-01-01,W.P. Kuala Lumpur,p3,5794.6
abs,2016-01-01,W.P. Kuala Lumpur,p4,14509.479
abs,2016-01-01,W.P. Kuala Lumpur,p5,168742.436
abs,2016-01-01,W.P. Kuala Lumpur,p6,2463.885
abs,2016-01-01,W.P. Labuan,p0,6412.031
abs,2016-01-01,W.P. Labuan,p1,114.448
abs,2016-01-01,W.P. Labuan,p2,0.0
abs,2016-01-01,W.P. Labuan,p3,1255.813
abs,2016-01-01,W.P. Labuan,p4,120.57
abs,2016-01-01,W.P. Labuan,p5,4844.388
abs,2016-01-01,W.P. Labuan,p6,76.813
abs,2017-01-01,Johor,p0,123561.327
abs,2017-01-01,Johor,p1,16169.986
abs,2017-01-01,Johor,p2,655.514
abs,2017-01-01,Johor,p3,36465.306
abs,2017-01-01,Johor,p4,8407.258
abs,2017-01-01,Johor,p5,59999.052
abs,2017-01-01,Johor,p6,1864.21
abs,2017-01-01,Kedah,p0,43066.583
abs,2017-01-01,Kedah,p1,5465.003
abs,2017-01-01,Kedah,p2,109.592
abs,2017-01-01,Kedah,p3,12449.393
abs,2017-01-01,Kedah,p4,928.052
abs,2017-01-01,Kedah,p5,23808.188
abs,2017-01-01,Kedah,p6,306.354
abs,2017-01-01,Kelantan,p0,23501.175
abs,2017-01-01,Kelantan,p1,5476.893
abs,2017-01-01,Kelantan,p2,300.233
abs,2017-01-01,Kelantan,p3,1277.854
abs,2017-01-01,Kelantan,p4,520.898
abs,2017-01-01,Kelantan,p5,15899.029
abs,2017-01-01,Kelantan,p6,26.268
abs,2017-01-01,Melaka,p0,40829.986
abs,2017-01-01,Melaka,p1,4625.117
abs,2017-01-01,Melaka,p2,56.59
abs,2017-01-01,Melaka,p3,15620.547
abs,2017-01-01,Melaka,p4,1720.331
abs,2017-01-01,Melaka,p5,18613.275
abs,2017-01-01,Melaka,p6,194.127
abs,2017-01-01,Negeri Sembilan,p0,43815.729
abs,2017-01-01,Negeri Sembilan,p1,3321.278
abs,2017-01-01,Negeri Sembilan,p2,217.007
abs,2017-01-01,Negeri Sembilan,p3,16653.928
abs,2017-01-01,Negeri Sembilan,p4,1715.817
abs,2017-01-01,Negeri Sembilan,p5,20915.752
abs,2017-01-01,Negeri Sembilan,p6,991.945
abs,2017-01-01,Pahang,p0,54591.139
abs,2017-01-01,Pahang,p1,12253.554
abs,2017-01-01,Pahang,p2,709.071
abs,2017-01-01,Pahang,p3,11531.092
abs,2017-01-01,Pahang,p4,3230.848
abs,2017-01-01,Pahang,p5,26719.548
abs,2017-01-01,Pahang,p6,147.025
abs,2017-01-01,Perak,p0,69336.571
abs,2017-01-01,Perak,p1,10941.99
abs,2017-01-01,Perak,p2,438.054
abs,2017-01-01,Perak,p3,12691.378
abs,2017-01-01,Perak,p4,2113.067
abs,2017-01-01,Perak,p5,43027.708
abs,2017-01-01,Perak,p6,124.374
abs,2017-01-01,Perlis,p0,5694.648
abs,2017-01-01,Perlis,p1,1248.989
abs,2017-01-01,Perlis,p2,30.706
abs,2017-01-01,Perlis,p3,458.684
abs,2017-01-01,Perlis,p4,121.183
abs,2017-01-01,Perlis,p5,3722.87
abs,2017-01-01,Perlis,p6,112.216
abs,2017-01-01,Pulau Pinang,p0,86767.823
abs,2017-01-01,Pulau Pinang,p1,2034.414
abs,2017-01-01,Pulau Pinang,p2,143.794
abs,2017-01-01,Pulau Pinang,p3,37425.53
abs,2017-01-01,Pulau Pinang,p4,2688.806
abs,2017-01-01,Pulau Pinang,p5,43458.075
abs,2017-01-01,Pulau Pinang,p6,1017.204
abs,2017-01-01,Sabah,p0,83793.257
