component,expenditure_2024_rm_000,expenditure_2025_rm_000,share_2024_pct,share_2025_pct
Membeli-belah,39910477.0223009,44785087.5113,37.3882257908656,36.9268283653855
Pembelian Bahan Api Kenderaan,13507889.705934,16407252.805668,12.6542218475958,13.5283381583104
Pengangkutan,7187187.29608785,8686687.211087,6.73297343144312,7.16246915062213
Makanan & Minuman,17342497.8168969,19541197.41889,16.2464914612126,16.1123821173598
Penginapan,11914438.7800169,13018436.65011,11.1614733903032,10.7341439411715
Perbelanjaan Sebelum Perjalanan/,4147411.12120658,4746119.52120658,3.88530418618081,3.9133370213239
Aktiviti-aktiviti Lain,4436326.75234234,4895959.36893333,4.15596100758082,4.0368850737399
B. Perbelanjaan oleh Isi Rumah yang Dilawati,8299882.55510428,9199882.55510428,7.77534888481807,7.5856161720868
