date,state,income_mean,income_median,expenditure_mean,gini,poverty
2024-01-01,Johor,9484,7712,5927,0.348,2.5
2024-01-01,Kedah,5793,4895,4028,0.334,8.4
2024-01-01,Kelantan,5265,4083,3825,0.356,11.5
2024-01-01,Melaka,8686,6891,6212,0.337,3.0
2024-01-01,Negeri Sembilan,7305,5591,5115,0.343,4.0
2024-01-01,Pahang,6066,4975,4368,0.319,5.9
2024-01-01,Pulau Pinang,9152,7386,5850,0.311,1.9
2024-01-01,Perak,6173,4687,4232,0.298,6.9
2024-01-01,Perlis,5996,4950,4084,0.334,3.6
2024-01-01,Selangor,13296,10726,7266,0.332,0.9
2024-01-01,Terengganu,7627,6627,5219,0.263,5.8
2024-01-01,Sabah,6498,4890,3547,0.405,17.7
2024-01-01,Sarawak,6947,5504,4281,0.361,8.4
2024-01-01,W.P. Kuala Lumpur,13985,10802,8178,0.375,1.0
2024-01-01,W.P. Labuan,8555,7383,4497,0.327,2.0
2024-01-01,W.P. Putrajaya,13846,10769,9186,0.324,0.2
