year,origin_state,destination_state,tourists_thousands
2020,Perlis,W.P. Kuala Lumpur,18.936
2020,Perlis,W.P. Labuan,0.0
2020,Perlis,W.P. Putrajaya,0.917
2020,Selangor,Johor,654.97
2020,Selangor,Kedah,710.189
2020,Selangor,Kelantan,581.066
2020,Selangor,Melaka,1062.743
2020,Selangor,Negeri Sembilan,1132.492
2020,Selangor,Pahang,1316.972
2020,Selangor,Pulau Pinang,773.855
2020,Selangor,Perak,1332.508
2020,Selangor,Perlis,33.597
2020,Selangor,Selangor,1419.176
2020,Selangor,Terengganu,475.143
2020,Selangor,Sabah,135.907
2020,Selangor,Sarawak,105.159
2020,Selangor,W.P. Kuala Lumpur,739.971
2020,Selangor,W.P. Labuan,3.259
2020,Selangor,W.P. Putrajaya,3.248
2020,Terengganu,Johor,61.752
2020,Terengganu,Kedah,29.937
2020,Terengganu,Kelantan,421.893
2020,Terengganu,Melaka,22.741
2020,Terengganu,Negeri Sembilan,16.964
2020,Terengganu,Pahang,390.597
2020,Terengganu,Pulau Pinang,28.216
2020,Terengganu,Perak,26.327
2020,Terengganu,Perlis,6.606
2020,Terengganu,Selangor,116.029
2020,Terengganu,Terengganu,1102.307
2020,Terengganu,Sabah,5.913
2020,Terengganu,Sarawak,5.217
2020,Terengganu,W.P. Kuala Lumpur,125.649
2020,Terengganu,W.P. Labuan,0.0
2020,Terengganu,W.P. Putrajaya,14.71
2020,Sabah,Johor,0.633
2020,Sabah,Kedah,76.01
2020,Sabah,Kelantan,0.0
2020,Sabah,Melaka,0.0
2020,Sabah,Negeri Sembilan,0.0
2020,Sabah,Pahang,38.042
2020,Sabah,Pulau Pinang,14.892
2020,Sabah,Perak,0.0
2020,Sabah,Perlis,0.0
2020,Sabah,Selangor,208.054
2020,Sabah,Terengganu,0.0
2020,Sabah,Sabah,1985.5591603999999
2020,Sabah,Sarawak,34.743
2020,Sabah,W.P. Kuala Lumpur,57.633
2020,Sabah,W.P. Labuan,34.6968396
2020,Sabah,W.P. Putrajaya,0.0
2020,Sarawak,Johor,7.808
2020,Sarawak,Kedah,8.95
2020,Sarawak,Kelantan,16.187
2020,Sarawak,Melaka,4.467
2020,Sarawak,Negeri Sembilan,0.0
2020,Sarawak,Pahang,2.847
2020,Sarawak,Pulau Pinang,0.0
2020,Sarawak,Perak,0.0
2020,Sarawak,Perlis,0.0
2020,Sarawak,Selangor,135.408
2020,Sarawak,Terengganu,0.0
2020,Sarawak,Sabah,10.932
2020,Sarawak,Sarawak,2345.9649487
2020,Sarawak,W.P. Kuala Lumpur,79.552
2020,Sarawak,W.P. Labuan,27.9490513
2020,Sarawak,W.P. Putrajaya,26.183
2020,W.P. Kuala Lumpur,Johor,439.839
2020,W.P. Kuala Lumpur,Kedah,258.878
2020,W.P. Kuala Lumpur,Kelantan,336.923
2020,W.P. Kuala Lumpur,Melaka,264.146
2020,W.P. Kuala Lumpur,Negeri Sembilan,271.144
2020,W.P. Kuala Lumpur,Pahang,299.481
2020,W.P. Kuala Lumpur,Pulau Pinang,130.166
2020,W.P. Kuala Lumpur,Perak,663.173
2020,W.P. Kuala Lumpur,Perlis,4.124
2020,W.P. Kuala Lumpur,Selangor,1035.404
2020,W.P. Kuala Lumpur,Terengganu,82.861
2020,W.P. Kuala Lumpur,Sabah,16.433
2020,W.P. Kuala Lumpur,Sarawak,15.068
2020,W.P. Kuala Lumpur,W.P. Kuala Lumpur,660.868
2020,W.P. Kuala Lumpur,W.P. Labuan,7.123
2020,W.P. Kuala Lumpur,W.P. Putrajaya,27.652
2020,W.P. Labuan,Johor,4.748
2020,W.P. Labuan,Kedah,0.0
2020,W.P. Labuan,Kelantan,0.0
2020,W.P. Labuan,Melaka,0.0
2020,W.P. Labuan,Negeri Sembilan,0.0
2020,W.P. Labuan,Pahang,0.0
2020,W.P. Labuan,Pulau Pinang,0.0
2020,W.P. Labuan,Perak,0.0
2020,W.P. Labuan,Perlis,0.0
2020,W.P. Labuan,Selangor,9.445
2020,W.P. Labuan,Terengganu,0.0
2020,W.P. Labuan,Sabah,33.52
2020,W.P. Labuan,Sarawak,0.0
2020,W.P. Labuan,W.P. Kuala Lumpur,0.0
2020,W.P. Labuan,W.P. Labuan,1.191
2020,W.P. Labuan,W.P. Putrajaya,1.641
2020,W.P. Putrajaya,Johor,32.579
2020,W.P. Putrajaya,Kedah,12.804
