year,state,rank,attraction_name
2021,W.P. Kuala Lumpur,3,Pavilion Kuala Lumpur
2021,W.P. Kuala Lumpur,4,Kuala Lumpur Convention Centre (KLCC)
2021,W.P. Kuala Lumpur,5,Putra World Trade Centre (PWTC)
2021,W.P. Labuan,1,Pantai Pohon Batu
2021,W.P. Labuan,2,Pantai Sg. Miri
2021,W.P. Labuan,3,Pantai Pancur Hitam
2021,W.P. Labuan,4,Taman Marin Labuan
2021,W.P. Labuan,5,Memorial Perang Dunia Kedua
2021,W.P. Putrajaya,1,Alamanda Shopping Centre
2021,W.P. Putrajaya,2,Dataran Putra
2021,W.P. Putrajaya,3,Putrajaya International Convention Centre (PICC)
2021,W.P. Putrajaya,4,"Kelab Tasik Putrajaya, Presint 8"
2021,W.P. Putrajaya,5,"Taman Botani, Presint 1"
2022,Johor,1,Legoland Malaysia
2022,Johor,2,Toppen Shopping Centre
2022,Johor,3,Johor Premium Outlet (JPO)
2022,Johor,4,Pantai Tanjung Balau
2022,Johor,5,Paradigm Mall Johor Bahru
2022,Kedah,1,Pantai Cenang
2022,Kedah,2,Aman Central Mall
2022,Kedah,3,Kompleks Pekan Rabu
2022,Kedah,4,Air Terjun Telaga Tujuh
2022,Kedah,5,Alor Star Mall
2022,Kelantan,1,Aeon Lembah Sireh
2022,Kelantan,2,Pantai Cahaya Bulan
2022,Kelantan,3,KB Mall
2022,Kelantan,4,Pasar Siti Khadijah
2022,Kelantan,5,Pantai Irama
2022,Melaka,1,Dataran Pahlawan
2022,Melaka,2,Pantai Klebang
2022,Melaka,3,Mahkota Parade
2022,Melaka,4,Jonker Street/ Jalan Hang Jebat
2022,Melaka,5,A' Famosa Resort
2022,Pahang,1,Genting Highlands
2022,Pahang,2,Cameron Highlands
2022,Pahang,3,Pantai Teluk Cempedak
2022,Pahang,4,"Strawberry Farm (Brinchang, Tanah Rata)"
2022,Pahang,5,East Cost Mall (ECM)
2022,Pulau Pinang,1,Queensbay Mall
2022,Pulau Pinang,2,Pantai Batu Ferringhi
2022,Pulau Pinang,3,Bukit Bendera
2022,Pulau Pinang,4,Gurney Plaza
2022,Pulau Pinang,5,KOMTAR
2022,Perak,1,Ipoh Parade Shopping Centre
2022,Perak,2,Zoo Taiping
2022,Perak,3,Lost World of Tambun
2022,Perak,4,Teluk Batik
2022,Perak,5,Pulau Pangkor
